File, Rows, Columns, NonzeroEntries, Coordinate_Bytes, CSR_Bytes, SCSR_Bytes: 
Ragusa18.mtx, 23, 23, 64, 1280, 600, 430
rajat05.mtx, 301, 301, 1384, 27680, 12280, 8910
rajat11.mtx, 135, 135, 812, 16240, 7040, 5146
rajat14.mtx, 180, 180, 1503, 30060, 12748, 9382
rbsa480.mtx, 480, 480, 17088, 341760, 138628, 103492
rbsb480.mtx, 480, 480, 17088, 341760, 138628, 103492
rdb200.mtx, 200, 200, 1120, 22400, 9764, 7124
rdb200l.mtx, 200, 200, 1120, 22400, 9764, 7124
rdb450.mtx, 450, 450, 2580, 51600, 22444, 16384
rdb450l.mtx, 450, 450, 2580, 51600, 22444, 16384
rdb800l.mtx, 800, 800, 4640, 92800, 40324, 29444
rdb968.mtx, 968, 968, 5632, 112640, 48932, 35732
refine.mtx, 29, 62, 153, 3060, 1344, 980
rel3.mtx, 12, 5, 18, 360, 172, 124
rel4.mtx, 66, 12, 104, 2080, 948, 684
rel5.mtx, 340, 35, 656, 13120, 5940, 4284
relat3.mtx, 12, 5, 24, 480, 228, 164
relat4.mtx, 66, 12, 172, 3440, 1564, 1128
relat5.mtx, 340, 35, 1058, 21160, 9572, 6904
reorientation_1.mtx, 677, 677, 3861, 77220, 33600, 24524
rgg010.mtx, 10, 10, 76, 1368, 500, 328
rkat7_mat5.mtx, 694, 738, 38114, 762280, 307692, 230076
robot.mtx, 120, 120, 870, 17400, 7444, 5464
robot24c1_mat5.mtx, 404, 302, 15118, 302360, 122564, 91520
robot24c1_mat5_J.mtx, 302, 404, 15118, 302360, 122156, 91316
rosen7.mtx, 264, 776, 8034, 160680, 65332, 48736
rotor1.mtx, 100, 100, 708, 14160, 6068, 4452
rotor2.mtx, 791, 791, 10685, 213700, 88648, 65696
rw136.mtx, 136, 136, 479, 9580, 4380, 3150
rw496.mtx, 496, 496, 1859, 37180, 16860, 12150
S10PI_n.mtx, 682, 682, 1633, 32660, 15796, 11166
S10PI_n1.mtx, 528, 528, 1317, 26340, 12648, 8960
Sandi_authors.mtx, 86, 86, 124, 2480, 1248, 872
Sandi_sandi.mtx, 314, 360, 613, 11034, 4938, 3084
saylr1.mtx, 238, 238, 1128, 22560, 9980, 7248
saylr3.mtx, 1000, 1000, 2375, 47500, 23004, 16254
sherman1.mtx, 1000, 1000, 2375, 47500, 23004, 16254
shl_0.mtx, 663, 663, 1687, 33740, 16152, 11452
shl_200.mtx, 663, 663, 1726, 34520, 16464, 11686
shl_400.mtx, 663, 663, 1712, 34240, 16352, 11602
Si2.mtx, 769, 769, 9285, 185700, 77360, 57252
SmallW.mtx, 396, 396, 994, 19880, 8352, 6166
spaceShuttleEntry_1.mtx, 560, 560, 3605, 72100, 31084, 22754
spaceStation_1.mtx, 99, 99, 489, 9780, 4312, 3136
spaceStation_2.mtx, 329, 329, 2999, 59980, 25312, 18656
spaceStation_3.mtx, 467, 467, 2681, 53620, 23320, 17024
spaceStation_4.mtx, 950, 950, 7079, 141580, 60436, 44378
sphere2.mtx, 66, 66, 258, 4644, 1816, 1168
sphere3.mtx, 258, 258, 1026, 18468, 7192, 4624
steam1.mtx, 240, 240, 3762, 75240, 31060, 23056
steam2.mtx, 600, 600, 13760, 275200, 112484, 83764
steam3.mtx, 80, 80, 928, 18560, 7748, 5732
Stranke94.mtx, 10, 10, 45, 900, 404, 290
str_0.mtx, 363, 363, 2454, 49080, 21088, 15454
str_200.mtx, 363, 363, 3068, 61360, 26000, 19138
str_400.mtx, 363, 363, 3157, 63140, 26712, 19672
str_600.mtx, 363, 363, 3279, 65580, 27688, 20404
TF10.mtx, 99, 107, 622, 12440, 5376, 3934
TF11.mtx, 216, 236, 1607, 32140, 13724, 10078
TF12.mtx, 488, 552, 4231, 84620, 35804, 26366
Tina_AskCal.mtx, 11, 11, 29, 522, 222, 142
Tina_AskCog.mtx, 11, 11, 36, 648, 264, 170
Tina_DisCal.mtx, 11, 11, 41, 738, 294, 190
Tina_DisCog.mtx, 11, 11, 48, 864, 336, 218
tols340.mtx, 340, 340, 2196, 43920, 18932, 13860
tols90.mtx, 90, 90, 1746, 34920, 14332, 10660
tomography.mtx, 500, 500, 28726, 574520, 231812, 173360
Trec10.mtx, 106, 478, 8612, 172240, 69324, 51888
Trec3.mtx, 1, 2, 1, 18, 14, 10
Trec4.mtx, 2, 3, 3, 60, 36, 26
Trec5.mtx, 3, 7, 12, 240, 112, 82
Trec6.mtx, 6, 15, 40, 800, 348, 256
Trec7.mtx, 11, 36, 147, 2940, 1224, 908
Trec8.mtx, 23, 84, 549, 10980, 4488, 3344
Trec9.mtx, 47, 201, 2147, 42940, 17368, 12980
Trefethen_150.mtx, 150, 150, 1095, 21900, 9364, 6874
Trefethen_20.mtx, 20, 20, 89, 1780, 796, 578
Trefethen_200.mtx, 200, 200, 1545, 30900, 13164, 9674
Trefethen_200b.mtx, 199, 199, 1536, 30720, 13088, 9618
Trefethen_20b.mtx, 19, 19, 83, 1660, 744, 540
Trefethen_300.mtx, 300, 300, 2489, 49780, 21116, 15538
Trefethen_500.mtx, 500, 500, 4489, 89780, 37916, 27938
Trefethen_700.mtx, 700, 700, 6677, 133540, 56220, 41466
tub100.mtx, 100, 100, 396, 7920, 3572, 2580
tub1000.mtx, 1000, 1000, 3996, 79920, 35972, 25980
tumorAntiAngiogenesis_1.mtx, 205, 205, 953, 19060, 8448, 6132
tumorAntiAngiogenesis_2.mtx, 305, 305, 1441, 28820, 12752, 9260
tumorAntiAngiogenesis_3.mtx, 410, 410, 2099, 41980, 18436, 13418
tumorAntiAngiogenesis_4.mtx, 455, 455, 2433, 48660, 21288, 15512
tumorAntiAngiogenesis_5.mtx, 460, 460, 2483, 49660, 21708, 15822
tumorAntiAngiogenesis_6.mtx, 465, 465, 2537, 50740, 22160, 16156
tumorAntiAngiogenesis_7.mtx, 475, 475, 2441, 48820, 21432, 15600
tumorAntiAngiogenesis_8.mtx, 490, 490, 2535, 50700, 22244, 16194
USAir97.mtx, 332, 332, 2126, 42520, 18132, 13316
utm300.mtx, 300, 300, 3155, 63100, 26444, 19534
west0067.mtx, 67, 67, 294, 5880, 2624, 1902
west0132.mtx, 132, 132, 414, 8280, 3844, 2752
west0156.mtx, 156, 156, 371, 7420, 3596, 2542
west0167.mtx, 167, 167, 507, 10140, 4728, 3380
west0381.mtx, 381, 381, 2157, 43140, 18784, 13708
west0479.mtx, 479, 479, 1910, 38200, 17200, 12422
west0497.mtx, 497, 497, 1727, 34540, 15808, 11360
west0655.mtx, 655, 655, 2854, 57080, 25456, 18438
west0989.mtx, 989, 989, 3537, 70740, 32256, 23204
wheel_3_1.mtx, 21, 25, 74, 1332, 532, 342
wheel_4_1.mtx, 36, 41, 122, 2196, 880, 564
wheel_5_1.mtx, 57, 61, 182, 3276, 1324, 846
wheel_6_1.mtx, 83, 85, 254, 4572, 1860, 1186
wheel_7_1.mtx, 114, 113, 338, 6084, 2488, 1584
will199.mtx, 199, 199, 701, 12618, 5006, 3206
will57.mtx, 57, 57, 281, 5058, 1918, 1242
wm1.mtx, 207, 277, 2909, 58180, 24104, 17872
wm2.mtx, 207, 260, 2942, 58840, 24368, 18070
wm3.mtx, 207, 260, 2948, 58960, 24416, 18106
WorldCities.mtx, 315, 100, 7518, 150360, 61400, 45738
ww_36_pmec_36.mtx, 66, 66, 1194, 23880, 9820, 7300
young3c.mtx, 841, 841, 3988, 79760, 35272, 25614
zed.mtx, 116, 142, 666, 13320, 5796, 4232
