File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes
west0381.mtx; Matrix; Coordinate; General; 381; 381; 2157; Real; -761; 1522; 2; 2; 4; 17256; 13706; 13706; 9392
west0479.mtx; Matrix; Coordinate; General; 479; 479; 1910; Real; -316220; 18449; 2; 2; 4; 15280; 12420; 12420; 8600
west0497.mtx; Matrix; Coordinate; General; 497; 497; 1727; Real; -689300; 9210.46; 2; 2; 4; 13816; 11358; 11358; 7904
west0655.mtx; Matrix; Coordinate; General; 655; 655; 2854; Real; -316220; 18449; 2; 2; 4; 22832; 18436; 18436; 12728
west0989.mtx; Matrix; Coordinate; General; 989; 989; 3537; Real; -316220; 18449; 2; 2; 4; 28296; 23202; 23202; 16128
wheel_3_1.mtx; Matrix; Coordinate; General; 21; 25; 74; Pattern; 1; 1; 2; 2; 2; 444; 340; 340; 192
wheel_4_1.mtx; Matrix; Coordinate; General; 36; 41; 122; Pattern; 1; 1; 2; 2; 2; 732; 562; 562; 318
wheel_5_1.mtx; Matrix; Coordinate; General; 57; 61; 182; Pattern; 1; 1; 2; 2; 2; 1092; 844; 844; 480
wheel_6_1.mtx; Matrix; Coordinate; General; 83; 85; 254; Pattern; 1; 1; 2; 2; 2; 1524; 1184; 1184; 676
wheel_7_1.mtx; Matrix; Coordinate; General; 114; 113; 338; Pattern; 1; 1; 2; 2; 2; 2028; 1582; 1582; 906
will199.mtx; Matrix; Coordinate; General; 199; 199; 701; Pattern; 1; 1; 2; 2; 2; 4206; 3204; 3204; 1802
will57.mtx; Matrix; Coordinate; General; 57; 57; 281; Pattern; 1; 1; 2; 2; 2; 1686; 1240; 1240; 678
wm1.mtx; Matrix; Coordinate; General; 207; 277; 2909; Real; -8.64794; 274.825; 2; 2; 4; 23272; 17870; 17870; 12052
wm2.mtx; Matrix; Coordinate; General; 207; 260; 2942; Real; -23.0552; 6.02732; 2; 2; 4; 23536; 18068; 18068; 9242
wm3.mtx; Matrix; Coordinate; General; 207; 260; 2948; Real; -16.0337; 9.04098; 2; 2; 4; 23584; 18104; 18104; 9260
Wordnet3.mtx; Matrix; Coordinate; General; 82670; 82670; 132964; Integer; 1; 9; 4; 4; 4; 1595568; 1370976; 958562; 559670
WorldCities.mtx; Matrix; Coordinate; General; 315; 100; 7518; Integer; 1; 5; 2; 2; 4; 60144; 45736; 45736; 23182
wv2010.mtx; Matrix; Coordinate; Symmetric; 135218; 135218; 331461; Integer; 9; 2.08228e+06; 4; 4; 4; 7955064; 5844252; 4266424; 3603502
ww_36_pmec_36.mtx; Matrix; Coordinate; General; 66; 66; 1194; Real; -2000; 376.991; 2; 2; 4; 9552; 7298; 7298; 4910
wy2010.mtx; Matrix; Coordinate; Symmetric; 86204; 86204; 213793; Integer; 41; 8.81093e+06; 4; 4; 4; 5131032; 3765508; 2744874; 2317288
x104.mtx; Matrix; Coordinate; Symmetric; 108384; 108384; 5138004; Real; -71129.5; 138384; 4; 4; 4; 123312096; 81774532; 61235198; 51067574
xenon2.mtx; Matrix; Coordinate; General; 157464; 157464; 3866688; Real; -1.37766e+28; 3.17344e+28; 4; 4; 4; 46400256; 31563364; 23537302; 8070550
young3c.mtx; Matrix; Coordinate; General; 841; 841; 3988; Real; -218.46; 114.94; 2; 2; 4; 31904; 25612; 25612; 13648
zed.mtx; Matrix; Coordinate; General; 116; 142; 666; Real; -37; 3500; 2; 2; 4; 5328; 4230; 4230; 2898
