ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
0; G45.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 9990; Pattern; 1; 1; 2; 2; 2; 119880; 81922; 81922; 41962; 81922; 81922; 41962
0; G46.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 9990; Pattern; 1; 1; 2; 2; 2; 119880; 81922; 81922; 41962; 81922; 81922; 41962
0; G47.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 9990; Pattern; 1; 1; 2; 2; 2; 119880; 81922; 81922; 41962; 81922; 81922; 41962
0; G5.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Pattern; 1; 1; 2; 2; 2; 230112; 155010; 155010; 78306; 155010; 155010; 78306
0; G51.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 5909; Pattern; 1; 1; 2; 2; 2; 70908; 49274; 49274; 25638; 49274; 49274; 25638
0; G52.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 5916; Pattern; 1; 1; 2; 2; 2; 70992; 49330; 49330; 25666; 49330; 49330; 25666
0; G53.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 5914; Pattern; 1; 1; 2; 2; 2; 70968; 49314; 49314; 25658; 49314; 49314; 25658
0; G54.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 5916; Pattern; 1; 1; 2; 2; 2; 70992; 49330; 49330; 25666; 49330; 49330; 25666
0; G6.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Integer; -1; 1; 2; 2; 4; 306816; 231714; 231714; 78306; 231714; 231714; 78306
0; G7.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Integer; -1; 1; 2; 2; 4; 306816; 231714; 231714; 78306; 231714; 231714; 78306
0; G8.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Integer; -1; 1; 2; 2; 4; 306816; 231714; 231714; 78306; 231714; 231714; 78306
0; G9.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Integer; -1; 1; 2; 2; 4; 306816; 231714; 231714; 78306; 231714; 231714; 78306
24; Ga10As10H30.mtx; Matrix; Coordinate; Symmetric; 113081; 113081; 3114357; Real; -87.1646; 116.385; 4; 4; 4; 74744568; 49377392; 36986184; 18639285; 49377392; 36986184; 18639285
34; Ga19As19H42.mtx; Matrix; Coordinate; Symmetric; 133123; 133123; 4508981; Real; -87.6201; 116.381; 4; 4; 4; 108215544; 71611208; 53663704; 27009187; 71611208; 53663704; 27009187
0; gams10a.mtx; Matrix; Coordinate; General; 114; 171; 407; Real; -1; 1; 2; 2; 4; 3256; 2672; 2672; 1044; 2786; 2786; 1158
0; gams10am.mtx; Matrix; Coordinate; General; 114; 171; 407; Real; -1; 1; 2; 2; 4; 3256; 2672; 2672; 1044; 2786; 2786; 1158
0; gams30a.mtx; Matrix; Coordinate; General; 354; 531; 1287; Real; -1; 1; 2; 2; 4; 10296; 8432; 8432; 3284; 8786; 8786; 3638
0; gams30am.mtx; Matrix; Coordinate; General; 354; 531; 1287; Real; -1; 1; 2; 2; 4; 10296; 8432; 8432; 3284; 8786; 8786; 3638
0; gas11.mtx; Matrix; Coordinate; General; 459; 862; 2166; Real; -264.71; 252; 2; 2; 4; 17328; 13916; 13916; 7418; 14718; 14718; 8220
6; gas_sensor.mtx; Matrix; Coordinate; Symmetric; 66917; 66917; 885141; Real; -6.10417; 4.47638; 4; 4; 4; 21243384; 13894592; 10358130; 5248035; 13894592; 10358130; 5248035
0; GD00_a.mtx; Matrix; Coordinate; General; 352; 352; 458; Pattern; 1; 1; 2; 2; 2; 2748; 2388; 2388; 1472; 2226; 2226; 1310
0; GD00_c.mtx; Matrix; Coordinate; General; 638; 638; 1041; Integer; 1; 5; 2; 2; 4; 8328; 7106; 7106; 3983; 7060; 7060; 3937
0; GD01_a.mtx; Matrix; Coordinate; General; 311; 311; 645; Integer; 1; 3; 2; 2; 4; 5160; 4266; 4266; 2331; 4228; 4228; 2293
0; GD01_Acap.mtx; Matrix; Coordinate; General; 953; 953; 645; Integer; 1; 3; 2; 2; 4; 5160; 4266; 4266; 2331; 4230; 4230; 2295
0; GD01_b.mtx; Matrix; Coordinate; General; 18; 18; 37; Pattern; 1; 1; 2; 2; 2; 222; 186; 186; 112; 186; 186; 112
0; GD01_c.mtx; Matrix; Coordinate; General; 33; 33; 135; Integer; 1; 2; 2; 2; 4; 1080; 872; 872; 467; 874; 874; 469
0; GD02_a.mtx; Matrix; Coordinate; General; 23; 23; 87; Pattern; 1; 1; 2; 2; 2; 522; 394; 394; 220; 396; 396; 222
0; GD02_b.mtx; Matrix; Coordinate; General; 80; 80; 232; Pattern; 1; 1; 2; 2; 2; 1392; 1086; 1086; 622; 1090; 1090; 626
0; GD06_theory.mtx; Matrix; Coordinate; Symmetric; 101; 101; 190; Pattern; 1; 1; 2; 2; 2; 2280; 1724; 1724; 964; 1724; 1724; 964
0; GD95_a.mtx; Matrix; Coordinate; General; 36; 36; 57; Pattern; 1; 1; 2; 2; 2; 342; 298; 298; 184; 300; 300; 186
0; GD95_b.mtx; Matrix; Coordinate; General; 73; 73; 96; Pattern; 1; 1; 2; 2; 2; 576; 466; 466; 274; 526; 526; 334
0; GD95_c.mtx; Matrix; Coordinate; General; 62; 62; 287; Pattern; 1; 1; 2; 2; 2; 1722; 1274; 1274; 700; 1274; 1274; 700
0; GD96_b.mtx; Matrix; Coordinate; General; 111; 111; 193; Pattern; 1; 1; 2; 2; 2; 1158; 958; 958; 572; 814; 814; 428
0; GD96_c.mtx; Matrix; Coordinate; Symmetric; 65; 65; 125; Pattern; 1; 1; 2; 2; 2; 1500; 1132; 1132; 632; 1132; 1132; 632
0; GD96_d.mtx; Matrix; Coordinate; General; 180; 180; 229; Pattern; 1; 1; 2; 2; 2; 1374; 1144; 1144; 686; 1264; 1264; 806
0; GD97_a.mtx; Matrix; Coordinate; Symmetric; 84; 84; 166; Pattern; 1; 1; 2; 2; 2; 1992; 1498; 1498; 834; 1498; 1498; 834
0; GD97_b.mtx; Matrix; Coordinate; Symmetric; 47; 47; 132; Real; 0.01; 1356.59; 2; 2; 4; 2112; 1678; 1678; 1150; 1678; 1678; 1150
